experiment,w_ali,N,psi,NND_mean,NND_min,R,T_fc,kappa_correct,regime
fig5,10,30,0.151,191.7,89.8,,,,sub-critical
fig5,17,30,0.207,189.9,93.5,0.033,,0.194,sub-critical
fig5,20,30,0.991,202.7,151.9,0.776,,0.991,critical
fig5,30,30,0.992,202.1,152.3,0.765,,0.989,critical
fig5,40,30,0.992,201.1,151.5,0.755,,0.984,critical
fig5,50,30,0.991,201.8,157.8,0.755,,0.987,critical
fig5,65,30,0.992,200.8,153.1,0.749,,0.982,critical
fig5,85,30,0.992,202.2,156.0,0.741,,0.990,critical
fig5,100,30,0.982,199.6,147.8,0.696,,0.967,critical
fig5,120,30,0.979,199.8,132.9,0.691,,0.965,critical
fig5,150,30,0.978,199.0,137.7,0.660,,0.960,critical
fig8,5,30,0.147,146.7,111.1,,226.4,0.106,sub-critical
fig8,15,30,0.272,160.2,118.7,,238.2,0.215,sub-critical
fig8,20,30,0.706,204.2,151.3,,242.3,0.711,critical
fig8,25,30,0.897,217.0,160.8,,326.8,0.960,critical
fig8,30,30,0.877,210.7,156.1,,307.8,0.911,critical
fig8,40,30,0.848,202.8,150.2,,273.5,0.848,critical
fig8,50,30,0.886,207.4,153.6,,297.3,0.906,critical
fig8,70,30,0.889,192.9,142.8,,293.6,0.846,critical
fig8,100,30,0.881,196.3,145.5,,305.0,0.853,critical
fig8,150,30,0.883,164.9,122.2,,318.6,0.718,critical
